      EF                  x                  y                  z                J0_x               J0_y               J0_z               J1_x               J1_y               J1_z               J2_x               J2_y               J2_z      
      12.030600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.030800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.031000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.031200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.031400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.031600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.031800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.032000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.032200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.032400           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.032600           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.032800           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.033000           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.033200           0.004033          -0.009263          48.829185           0.000041          -0.000174          -1.936515          -0.000054           0.000283           9.427701           0.004046          -0.009372          41.337998
      12.033400           0.003933          -0.009325          44.493154           0.000040          -0.000173          -1.913591          -0.000053           0.000281           9.480918           0.003946          -0.009433          36.925826
      12.033600           0.003933          -0.009325          44.493154           0.000040          -0.000173          -1.913591          -0.000053           0.000281           9.480918           0.003946          -0.009433          36.925826
      12.033800           0.003933          -0.009325          44.493154           0.000040          -0.000173          -1.913591          -0.000053           0.000281           9.480918           0.003946          -0.009433          36.925826
      12.034000           0.003933          -0.009325          44.493154           0.000040          -0.000173          -1.913591          -0.000053           0.000281           9.480918           0.003946          -0.009433          36.925826
      12.034200           0.003933          -0.009325          44.493154           0.000040          -0.000173          -1.913591          -0.000053           0.000281           9.480918           0.003946          -0.009433          36.925826
      12.034400           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
      12.034600           0.003824          -0.009283          52.363372           0.000040          -0.000169          -1.882229          -0.000059           0.000281           9.545910           0.003844          -0.009395          44.699691
